id,texto,urls,status_code,AJUSTE
8,"Biografía de Albert Einstein, físico premio nobel  quien desarrolló la teoría de la relatividad, base de la física moderna. https://www.Biografíasyvidas.com/monografia/einstein/",https://www.Biografíasyvidas.com/monografia/einstein/,NA,OK
31,"Desde la década de los 90 se realizan en diversos lugares del mundo investigaciones de tipo experimental. El proyecto BICEP comenzó investigaciones del 2006 al 2008 , el BICEP2 es una continuación del mismo https://lweb.cfa.harvard.edu/CMB/bicep2/science.html",https://lweb.cfa.harvard.edu/CMB/bicep2/science.html,404,https://www-cfa-harvard-edu.translate.goog/news/first-direct-evidence-cosmic-inflation?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=tc
34,"¿ Si el universo actual es de 14 billones de años luz, como es posible observar objetos a 47 billones de años luz de distancia ?  HYPERLINK ""http://www.astro.ucla.edu/~wright/cosmology_faq.html"" \l ""DN""http://www.astro.ucla.edu/~wright/cosmology_faq.html#DN Edward L. (Ned) Wright , obtuvo su grado PhD en astronomía de la universidad de Harvard en 1976. Luego de enseñar en el departamento de Física de MIT, ha sido profesor en UCLA desde 1981. ","http://www.astro.ucla.edu/~wright/cosmology_faq.html""",NA,https://www-astronomy-com.translate.goog/science/size-of-the-universe/?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=sge&_x_tr_hist=true
34,"¿ Si el universo actual es de 14 billones de años luz, como es posible observar objetos a 47 billones de años luz de distancia ?  HYPERLINK ""http://www.astro.ucla.edu/~wright/cosmology_faq.html"" \l ""DN""http://www.astro.ucla.edu/~wright/cosmology_faq.html#DN Edward L. (Ned) Wright , obtuvo su grado PhD en astronomía de la universidad de Harvard en 1976. Luego de enseñar en el departamento de Física de MIT, ha sido profesor en UCLA desde 1981. ",http://www.astro.ucla.edu/~wright/cosmology_faq.html#DN,NA,
35,"¿ Donde está el centro del Big Bang ? http://www.astro.ucla.edu/~wright/nocenter.html Edward L. (Ned) Wright , obtuvo su grado PhD en astronomía de la universidad de Harvard en 1976. Luego de enseñar en el departamento de Física de MIT, ha sido profesor en UCLA desde 1981. ",http://www.astro.ucla.edu/~wright/nocenter.html,NA,OK
39,"80 años del entrelazamiento cuántico de Einstein, Podolsky y Rosen https://www.scientificamerican.com/espanol/noticias/ochenta-anos-del-entrelazamiento-cuantico/",https://www.scientificamerican.com/espanol/noticias/ochenta-anos-del-entrelazamiento-cuantico/,404,https://science-nasa-gov.translate.goog/what-is-the-spooky-science-of-quantum-entanglement/?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=tc
40,¿Que son los cubits? https://platzi.com/tutoriales/1098-ingenieria/1521-que-son-los-cubits/,https://platzi.com/tutoriales/1098-ingenieria/1521-que-son-los-cubits/,403,OK
46,"Milestone Pig-to-Human Heart Transplant May Pave the Way for Broader Trial, Scientifican American, Octubre 2023  HYPERLINK ""https://www.scientificamerican.com/article/milestone-pig-to-human-heart-transplant-may-pave-the-way-for-broader-trial/"" \l "":~:text=In January 2022 Griffith and,failed%2C and he passed away.""https://www.scientificamerican.com/article/milestone-pig-to-human-heart-transplant-may-pave-the-way-for-broader-trial/#:~:text=In%20January%202022%20Griffith%20and,failed%2C%20and%20he%20passed%20away.","https://www.scientificamerican.com/article/milestone-pig-to-human-heart-transplant-may-pave-the-way-for-broader-trial/""",404,OK
46,"Milestone Pig-to-Human Heart Transplant May Pave the Way for Broader Trial, Scientifican American, Octubre 2023  HYPERLINK ""https://www.scientificamerican.com/article/milestone-pig-to-human-heart-transplant-may-pave-the-way-for-broader-trial/"" \l "":~:text=In January 2022 Griffith and,failed%2C and he passed away.""https://www.scientificamerican.com/article/milestone-pig-to-human-heart-transplant-may-pave-the-way-for-broader-trial/#:~:text=In%20January%202022%20Griffith%20and,failed%2C%20and%20he%20passed%20away.",failed%2C%20and%20he%20passed%20away.,NA,OK
49,"Our world in Data, Life expectancy:  HYPERLINK ""https://ourworldindata.org/life-expectancy"" \l ""life-expectancy-has-improved-globally""https://ourworldindata.org/life-expectancy#life-expectancy-has-improved-globally – World Population Growth  HYPERLINK ""https://ourworldindata.org/world-population-growth"" \l ""all-charts-preview""https://ourworldindata.org/world-population-growth#all-charts-preview","https://ourworldindata.org/life-expectancy""",404,OK
49,"Our world in Data, Life expectancy:  HYPERLINK ""https://ourworldindata.org/life-expectancy"" \l ""life-expectancy-has-improved-globally""https://ourworldindata.org/life-expectancy#life-expectancy-has-improved-globally – World Population Growth  HYPERLINK ""https://ourworldindata.org/world-population-growth"" \l ""all-charts-preview""https://ourworldindata.org/world-population-growth#all-charts-preview","https://ourworldindata.org/world-population-growth""",404,OK
66,"“Robust prediction of individual creative ability from brain functional connectivity”, Proceedings of the National Academy of Sciences of the United States of America- PNAS. https://www.pnas.org/content/115/5/1087",https://www.pnas.org/content/115/5/1087,403,OK
67,"La declaración sobre la consciencia de Cambridge, Julio 7 de 2012.  HYPERLINK ""https://www.animal-ethics.org/declaracion-consciencia-cambridge/"" \l "":~:text=La Declaración fue proclamada de,por Low%2C Edelman and Koch.""https://www.animal-ethics.org/declaracion-consciencia-cambridge/#:~:text=La%20Declaraci%C3%B3n%20fue%20proclamada%20de,por%20Low%2C%20Edelman%20and%20Koch.","https://www.animal-ethics.org/declaracion-consciencia-cambridge/""",403,OK
